,0
Является ли Дьявольский фрукт Искусственным Зоаном (Смайлом)?,0.0026848678478025565
Обладает ли персонаж фруктом Сукэ Сукэ но Ми (Прозрачность)?,0.002585040708882272
Происходит ли персонаж из Логтауна (Ист Блю)?,0.002583970431181841
Происходит ли персонаж с островов Орган (Ист Блю)?,0.002530877652750246
Является ли персонаж Старшей Звездой (Бедствием Пиратов Зверей)?,0.0024648273281060217
Родился ли персонаж в одном из портов Гранд Лайн?,0.0024533060048368867
Является ли персонаж Ёнко (Императором Моря)?,0.002449278096047624
Является ли персонаж бойцом команды?,0.0024421091566336236
Является ли персонаж музыкантом?,0.002433134768818578
Входит ли персонаж в Тройку Мушкетеров Инуараси?,0.0024236549497243316
Был ли персонаж первым помощником капитана?,0.002392208767324603
Был ли персонаж наемным убийцей?,0.0023763959368521526
Был ли персонаж главой Сайфер Пол 9?,0.002369115969606226
Является ли персонаж Генералом-Сладостью (Пиратов Большой Мамочки)?,0.002366315508683875
Был ли персонаж наемником?,0.002361903664982532
Является ли персонаж Божественным стражем?,0.002359111841948953
Был ли персонаж фальшивым пиратом?,0.0023264642127239932
Является ли персонаж капитаном/адмиралом пиратского флота?,0.0022882001820526084
Является ли персонаж наемником?,0.00228335281202145
Является ли персонаж принцем Королевства Рюгу?,0.0022493063670785745
Является ли персонаж навигатором?,0.0022447404803731703
Был ли персонаж солдатом?,0.002230743395982339
Происходит ли персонаж из Калм Белт (Амазон Лили)?,0.002220251224792517
Происходит ли персонаж из Страны Кано (Вест Блю)?,0.00219298900242654
Является ли персонаж капитан-лейтенантом Морского Дозора?,0.002177655788351815
Является ли персонаж воином?,0.002159808002598799
Является ли персонаж начальником штаба?,0.002146273532027393
Был ли персонаж юнгой/учеником?,0.002109128954241395
Является ли персонаж королевским ездовым животным/транспортом?,0.0020942801234828667
Был ли персонаж офицером пиратов?,0.002056681853218359
Является ли персонаж Генералом-Зомби?,0.002045189055587319
Происходит ли персонаж из Королевства Джерма (Норт Блю)?,0.002024859239317882
Был ли персонаж Вице-адмиралом Дозора?,0.002013936390723176
Был ли персонаж слугой?,0.0019722210759178633
Родился ли персонаж на корабле Моби Дик?,0.0019321495821355813
Является ли персонаж воином Шандии?,0.0019153504805020894
Был ли персонаж аристократом/дворянином?,0.001905108090437217
Обладает ли персонаж фруктом Сору Сору но Ми (Душа)?,0.0018922535245931757
Был ли персонаж Адмиралом Дозора?,0.001888561674375515
Является ли персонаж рыбаком?,0.0018718221003287184
Является ли персонаж бригадиром Дока №1?,0.001863794733801255
Происходит ли персонаж с Грин Бит (Гранд Лайн)?,0.0018509940834371744
Был ли персонаж вором?,0.001846961861329714
Был ли персонаж боссом Якудза?,0.0018434041745389958
Является ли персонаж работником кафе?,0.001807810419240776
Является ли персонаж принцессой?,0.0017980802730774537
Был ли персонаж капитаном?,0.0017603469821645867
Продает ли персонаж такояки?,0.0017372505565839893
Происходит ли персонаж с Охара (Вест Блю)?,0.0017287377269549866
Был ли персонаж Ёнко?,0.0017035957075001887
Является ли персонаж старшим офицером Кросс Гильдии?,0.0016946727912167223
Был ли персонаж Кингсбёрдом (вестником королей Минков)?,0.0016945092544939193
Является ли персонаж Мировым Дворянином (Тэнрюбито)?,0.0016913090626461324
Является ли персонаж вором?,0.0016724514197867725
Является ли персонаж рулевым?,0.001668715975789108
Выращивает ли персонаж мандарины (миканы)?,0.0016545468065038303
Является ли персонаж разборщиком кораблей?,0.0016532803279961654
Является ли персонаж археологом?,0.0016336194442376564
Был ли персонаж агентом Сайфер Пол?,0.0016057898124247941
Происходит ли персонаж из Королевства Могаро (Гранд Лайн)?,0.0015972402639637194
Является ли персонаж ботаником?,0.001573587428498108
Был ли персонаж агентом Фронтира (Барок Воркс)?,0.0015597197990051999
Является ли персонаж командиром королевской гвардии?,0.001498353881742204
Был ли персонаж офицером Морского Дозора?,0.0014918889239062983
Был ли персонаж узником/заключенным?,0.0014777006815629144
Был ли персонаж горным бандитом?,0.0014658950917703017
Обладает ли персонаж фруктом Гура Гура но Ми (Землетрясение)?,0.0014297853488177107
Является ли персонаж брокером Подполья?,0.0014201421807956134
Является ли персонаж узником Импел Даун?,0.0014182866527954283
Был ли персонаж Мировым Дворянином (Тэнрюбито)?,0.0014179761894925985
Был ли персонаж пиратским юнгой?,0.0012875852925482195
Является ли персонаж правителем Амазон Лили?,0.0012836246223719239
Является ли персонаж мушкетером?,0.0012622339451380427
Является ли персонаж принцем?,0.0012616368533980966
Является ли персонаж вассалом/слугой?,0.0011842805580270762
Обладает ли персонаж фруктом Уо Уо но Ми модель: Лазурный Дракон?,0.0011624140055643583
Обладает ли персонаж фруктом Мера Мера но Ми (Огонь)?,0.0010388120644092853
